Number,Start_date,End_date,Start_hour,Start_dayofweek,End_hour,End_dayofweek,Start station number,Start station,End station number,End station,Bike number,Bike model,Trip_duration_minutes,Trip_duration_ms,Trip_distance_m,Start_lat,Start_lon,End_lat,End_lon,Trip_distance_m.1,Start_geohash_enc,station_avg_dur,station_std_dur,station_top_dest_enc,duration,destination
132944923,-1.2123125996993322,-1.21346363898038,1.195437947982298,1.236640781188092,1.14179645323516,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",1093,"Kennington Cross, Kennington",56711,CLASSIC,3.0,-0.9809105630647704,-0.8824083746935735,-1.1044732868352658,0.0450946432714451,51.48894022,-0.111435796,-0.8824083746935735,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,3.0,131
132945230,-1.2094873631516756,-1.2102460597290072,1.3953461675120098,1.236640781188092,1.338882710677356,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",1196,"Vincent Square, Westminster",55566,CLASSIC,8.0,-0.6617877175776624,-0.5960521288025039,-1.1044732868352658,0.0450946432714451,51.49398524,-0.136928582,-0.5960521288025039,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,8.0,224
132945384,-1.2079177872918665,-1.2085195537892466,1.3953461675120098,1.236640781188092,1.338882710677356,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",300230,"Wynne Road, Stockwell",51340,CLASSIC,10.0,-0.5714431800388148,-0.1842599130477845,-1.1044732868352658,0.0450946432714451,51.469217,-0.11268674,-0.1842599130477845,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,10.0,777
132945536,-1.2057988598811242,-1.2066360927640527,1.5952543870417213,1.236640781188092,1.5359689681195514,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",300209,"Albert Square, Stockwell",59447,CLASSIC,7.0,-0.7102100964146241,-0.7053300190594052,-1.1044732868352658,0.0450946432714451,51.4765900593,-0.118256789081,-0.7053300190594052,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,7.0,758
132945533,-1.2057988598811242,-1.2066360927640527,1.5952543870417213,1.236640781188092,1.5359689681195514,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",300209,"Albert Square, Stockwell",59386,CLASSIC,7.0,-0.6964448592581605,-0.7053300190594052,-1.1044732868352658,0.0450946432714451,51.4765900593,-0.118256789081,-0.7053300190594052,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,7.0,758
132945615,-1.2046216779862673,-1.20561588470874,1.5952543870417213,1.236640781188092,1.5359689681195514,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",998,"Lollard Street, Vauxhall",54619,CLASSIC,5.0,-0.8353468048960977,-0.8374602176557415,-1.1044732868352658,0.0450946432714451,51.49288067,-0.114934001,-0.8374602176557415,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,5.0,37
132945617,-1.2046216779862673,-1.2055374071660232,1.5952543870417213,1.236640781188092,1.5359689681195514,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",998,"Lollard Street, Vauxhall",21465,CLASSIC,6.0,-0.8341614250621675,-0.8374602176557415,-1.1044732868352658,0.0450946432714451,51.49288067,-0.114934001,-0.8374602176557415,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,6.0,37
132945762,-1.2016394838526296,-1.2016920075729196,1.7951626065714328,1.236640781188092,1.733055225561747,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",991,"Crosswall, Tower",50753,CLASSIC,17.0,-0.1127853008978884,1.086592235033936,-1.1044732868352658,0.0450946432714451,51.51159481,-0.077121322,1.086592235033936,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,17.0,30
132945776,-1.201482526266649,-1.2024767830000835,1.7951626065714328,1.236640781188092,1.733055225561747,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",965,"Tachbrook Street, Victoria",54363,CLASSIC,5.0,-0.8828295128843133,-0.6189409761795737,-1.1044732868352658,0.0450946432714451,51.49211134,-0.138364847,-0.6189409761795737,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,5.0,6
132945808,-1.2009331747157157,-1.2007502770603224,1.7951626065714328,1.236640781188092,1.733055225561747,1.2357558297773277,1190,"Kennington Lane Rail Bridge, Vauxhall",3481,"Rodney Road , Walworth",58601,CLASSIC,20.0,0.1745957068140144,-0.0192141934267963,-1.1044732868352658,0.0450946432714451,51.49148474,-0.090220911,-0.0192141934267963,0.1030681461209993,-0.6517274164098644,-0.5760411823829279,0.0367213083863721,20.0,353
